trial_number,combined_score,final_similarity,univariate_similarity,bivariate_similarity,acc_tstr,acc_tsts,acc_trtr,acc_trts,avg_accuracy,lr_d,lr_g,hidden_feature_space,batch_size,nr_of_rows,binary_noise,epochs,trial_state,trial_duration
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,30,0.3124217733388137,3000,1,0.140724
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,20,0.2835558684167139,3000,1,0.064597
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,30,0.1511572371061874,3000,1,0.046603
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,30,0.3124217733388137,3000,1,0.042484
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,20,0.2835558684167139,3000,1,0.061697
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,30,0.1511572371061874,3000,1,0.04835
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,30,0.3124217733388137,3000,1,0.053299
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,20,0.2835558684167139,3000,1,0.043628
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,30,0.1511572371061874,3000,1,0.052521
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,30,0.3124217733388137,3000,1,0.043609
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,20,0.2835558684167139,3000,1,0.079799
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,30,0.1511572371061874,3000,1,0.044984
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,20,0.3124217733388137,1000,1,0.057648
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,15,0.2835558684167139,1000,1,28.984394
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,20,0.1511572371061874,1000,1,0.042453
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902619549708,0.0008536189862866,350,100,20,0.1103165563345655,3000,1,0.04337
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.292759134423613e-05,0.0002113705944064,200,128,25,0.3684482051282947,2000,1,73.661328
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006978281265126,1.5030900645056805e-05,150,256,20,0.1842803529062142,2000,1,0.038198
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6115164153345e-05,0.0007969454818643,350,256,20,0.3124217733388137,1000,1,0.032359
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008706020878304,0.000462258900102,150,128,15,0.2835558684167139,1000,1,29.777521
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8396292998041685e-05,5.4041038546473305e-05,250,32,20,0.1511572371061874,1000,1,0.062509
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902619549708,0.0008536189862866,350,100,20,0.1103165563345655,3000,1,0.05044
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.292759134423613e-05,0.0002113705944064,200,128,25,0.3684482051282947,2000,1,76.306937
