trial_number,tstr_score,lr_d,lr_g,hidden_feature_space,batch_size,nr_of_rows,binary_noise,epochs
0,0.8257113398498173,5.6115164153345e-05,0.0007969454818643932,350,256,25,0.2803345035229627,2500
1,0.7574530309704117,1.0994335574766187e-05,0.0008706020878304854,350,256,25,0.22958350559263474,1500
2,0.5752994366136539,0.00016738085788752134,1.9010245319870364e-05,200,100,25,0.2777243706586128,1000
3,0.6491648185318499,0.000164092867306479,2.1930485556643678e-05,100,64,25,0.3052699079536471,2000
4,0.732998960906819,1.7541893487450798e-05,9.7803370166594e-05,100,32,25,0.26401308380298394,1000
5,0.8723667125758612,0.0008692991511139548,0.0003550304858128307,400,100,25,0.11356818667316143,1500
6,0.787761829483185,5.989003672254293e-05,3.488976654890367e-05,350,256,25,0.12236519310393126,3000
7,0.6027943088297268,0.0003503398491158688,2.497073714505272e-05,100,32,25,0.2075397185632818,1000
8,0.866774587405814,0.0005323617594751496,0.00017643967683381525,200,128,25,0.36616382277289805,2000
9,0.7628033367420248,1.7345566642360933e-05,0.0002669866674274458,350,64,25,0.10762573802322856,1000
