,Age,Gender,Rgn ,wt,BMI,wst,sys,dia,his,A1c,B.S.R,vision,Exr,dipsia,uria,Dur,neph,HDL,Outcome
Age,1.0,0.21463701306450614,0.04250410702409469,0.20837719846161373,0.18569224668834305,0.5379415630903406,0.3417093280564758,0.2546515622325136,0.09545253569374443,0.6408589277112947,0.584106763411609,0.11927759498157961,-0.042573469881637245,0.4800361749875565,0.4628406022843645,0.5645840491205399,0.32641005051851113,-0.3674898038605886,0.7676415277029393
Gender,0.21463701306450614,1.0,0.00793494364710816,-0.31332087745052883,0.13036854820393443,0.05416398009228384,0.051083175632572086,0.11072618538231088,0.10697289677573851,0.25789638748987853,0.22273397702478942,0.017806817180667484,-0.03678637533646343,0.22194855350413203,0.18694202585562167,0.21197085024402115,0.11594453233504379,-0.13645700059701088,0.3206171205731647
Rgn ,0.04250410702409469,0.00793494364710816,1.0,0.006638744424869429,0.005826975099176263,0.028646161016246945,-0.0026591199394233886,0.0658378909077991,0.0525212679468247,0.03823489613176366,0.0462158403338443,-0.02720565897910438,0.007257534430345125,0.005004805708029948,-0.012460740250489818,0.057092745933362936,-0.0005513363363275224,-0.001464070113241641,0.0026274473685489177
wt,0.20837719846161373,-0.31332087745052883,0.006638744424869429,1.0,0.3062260696548716,0.5535184027764176,0.09545875081058015,0.14301478740354426,-0.002234290798946697,0.14789597188938375,0.12324935117057773,0.015837544102345596,-0.030401609466244237,0.15098398579916372,0.10372065985162768,0.10632601904517619,0.045000930411134794,-0.11704619582159295,0.17521133196558472
BMI,0.18569224668834305,0.13036854820393443,0.005826975099176263,0.3062260696548716,1.0,0.3029776080319441,0.08042804655969951,0.09456059289609736,0.0021512216887201287,0.17305278079775735,0.13865539299890003,0.008001770851910015,-0.021127530155469622,0.16511754645207108,0.11032706564029676,0.13776060458642814,0.07248422859158901,-0.05764025323805172,0.20447399194450513
wst,0.5379415630903406,0.05416398009228384,0.028646161016246945,0.5535184027764176,0.3029776080319441,1.0,0.24553799853946537,0.26180870943576706,0.06635182455475336,0.45562102142203276,0.42440384576044055,0.10371823728564533,-0.0428133033767924,0.3875148517495924,0.31805269801776964,0.4055305803218539,0.22863484707505508,-0.2779180892428382,0.554065091452376
sys,0.3417093280564758,0.051083175632572086,-0.0026591199394233886,0.09545875081058015,0.08042804655969951,0.24553799853946537,1.0,0.4255273348614367,0.07414539990358744,0.2886776442530225,0.304979348571921,0.05335380416876774,0.025592955331315486,0.2540245823897971,0.2220055047064723,0.3004954762134664,0.15807725547112078,-0.16682117681152323,0.36868937885927944
dia,0.2546515622325136,0.11072618538231088,0.0658378909077991,0.14301478740354426,0.09456059289609736,0.26180870943576706,0.4255273348614367,1.0,0.07389378894637479,0.23946003820368547,0.22774339595462126,-0.0016676371399759597,-0.006962777446230498,0.20726397730733537,0.1769421341929642,0.16493059466846322,0.0724686873199744,-0.09734441746732522,0.27873256886372844
his,0.09545253569374443,0.10697289677573851,0.0525212679468247,-0.002234290798946697,0.0021512216887201287,0.06635182455475336,0.07414539990358744,0.07389378894637479,1.0,0.1179515009491437,0.12568611086531695,0.08870077067870233,-0.0438814714280184,0.04580085257080664,0.07385016966510415,0.14373911934042363,0.020471336409628015,-0.05868999849051018,0.13335832851904184
A1c,0.6408589277112947,0.25789638748987853,0.03823489613176366,0.14789597188938375,0.17305278079775735,0.45562102142203276,0.2886776442530225,0.23946003820368547,0.1179515009491437,1.0,0.7927122044675201,0.06597891154311024,-0.07734432113523321,0.5263766065735421,0.44169835039009564,0.5606827074669645,0.37851100451177605,-0.3638870889910363,0.8114242604408136
